A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,label
0.31167896,-0.515410309,0.071062449,0.309037076,-0.078089582,0.006367755,0.05788014,0.122844327,-0.139655773,-0.086428757,0
0.342705694,-0.486904527,0.020930857,0.259543356,-0.03912468,0.002444199,0.058484691,0.099906169,-0.128715793,-0.097274622,0
0.369847029,-0.453019466,-0.013562652,0.237942484,-0.047090515,-0.003067688,0.042519057,0.091211696,-0.116242945,-0.081702706,0
0.447353647,-0.413719239,-0.076868334,0.162459467,-0.018874551,0.030610681,0.092856511,0.066599487,-0.054174818,-0.059072855,0
0.411682257,-0.333035161,-0.166322949,0.095579454,0.025357584,-0.005580071,0.053661883,0.098831944,-0.010485773,-0.057785658,0
0.384293643,-0.23040149,-0.236404317,0.092217191,-0.000997341,-0.043427531,0.014606428,0.105057782,-0.036682873,-0.030840396,0
0.501981876,-0.22860856,-0.24663979,0.049841405,0.017080843,0.020710437,0.03015634,0.025314409,-0.043813427,-0.002256451,0
0.511362126,-0.14177624,-0.271269583,0.028430832,0.000235191,-0.013536011,0.014113868,0.004273552,-0.03486057,0.014583172,0
0.554008876,-0.100190144,-0.260275184,0.010078048,-0.002528258,0.021028946,0.031323657,-0.046650583,-0.040893868,0.009533852,0
0.531823852,-0.010502246,-0.250817152,-0.018661311,0.035919545,0.043725044,0.020104604,-0.029654274,-0.087473749,0.037070135,0
0.547977973,0.097657832,-0.190950121,-0.000584973,0.046239803,0.063895651,0.044706187,-0.024555426,-0.139456849,0.040628947,0
0.60684043,0.162625954,-0.090782662,0.007845628,0.039225352,0.106654354,0.100674115,-0.030214239,-0.15424503,0.028321344,0
0.656423232,0.220927397,0.042716961,0.03909361,0.007755196,0.126230656,0.131962529,-0.018962113,-0.146735527,0.034975217,0
0.667215707,0.252394826,0.150391214,0.10189594,-0.018517533,0.141761521,0.107626534,0.006108223,-0.131685043,0.029127184,0
0.64710028,0.266047748,0.251841375,0.12945449,-0.012495985,0.166157116,0.075207938,0.039850256,-0.116141637,-0.002601367,0
0.625651443,0.277519685,0.330453604,0.161160223,-0.006842001,0.164408804,0.041564796,0.058131781,-0.108262492,-0.025785963,0
0.618882153,0.28695538,0.371242622,0.153281484,0.031726078,0.170721718,0.043840858,0.061255674,-0.091290526,-0.039421648,0
0.199493027,-0.536239774,0.223596505,0.1500946,-0.12090333,-0.221838149,0.188053437,-0.06862665,0.186015425,0.017387588,0
0.196215584,-0.522240698,0.194630039,0.106285501,-0.089545658,-0.158157547,0.113711198,-0.1413362,0.223033509,0.041692131,0
0.245666367,-0.485116186,0.113765093,0.073490327,-0.100574723,-0.198716884,0.071075319,-0.143624592,0.19753966,0.06287569,0
0.227173732,-0.420820129,0.004916236,0.039854313,-0.166444559,-0.242409115,0.023478689,-0.116163594,0.183671207,0.043353758,0
0.2862836,-0.314535879,-0.072142791,0.034573642,-0.168473352,-0.214124941,0.030956986,-0.022228594,0.152389772,0.055902138,0
0.310236004,-0.261312989,-0.110842956,0.069517209,-0.126337202,-0.213211868,-0.04158451,-0.0643505,0.126326092,0.090723866,0
0.345439102,-0.253038122,-0.103695865,0.046972968,-0.070154516,-0.190125536,-0.108741709,-0.172426361,0.123680447,0.105829831,0
0.35811636,-0.157102204,-0.201581688,0.005891154,-0.068885657,-0.256932129,-0.07744789,-0.178664255,0.118078183,0.115213592,0
0.290866824,-0.09529097,-0.309162213,0.044665691,-0.038298502,-0.370221984,-0.0695994,-0.225424185,0.158368155,0.088640903,0
0.260428174,0.013033585,-0.334073631,0.070318264,0.005046409,-0.367340168,-0.052046657,-0.176340694,0.160746278,0.05923343,0
0.308032366,-0.003676159,-0.153498313,0.096300743,0.014015023,-0.254989537,-0.084212307,-0.2431186,0.156127429,0.081026839,0
0.399346845,0.123508578,0.035619489,0.108827157,0.041001011,-0.166654768,0.039423945,-0.236603057,0.138839096,0.097301647,0
0.370630397,0.262071543,-0.006406306,0.11439789,-0.057897816,-0.224825638,0.105057343,-0.157175534,0.156969234,0.062581859,0
0.433652031,0.230886069,0.064635346,0.134522407,0.001207781,-0.190440075,0.031811744,-0.152972208,0.128555677,0.112055966,0
0.401024689,0.274960006,0.131864767,0.187293405,0.028046005,-0.195039936,-0.01013439,-0.079948811,0.091579253,0.140011878,0
0.438421809,0.344115976,0.181652802,0.126753709,0.053900907,-0.217437794,0.113028264,-0.05293229,0.122961588,0.083597777,0
0.46556626,-0.471465488,0.089434427,0.284037057,0.027027027,-0.057310882,0.279517368,0.10506828,-0.037789865,-0.005752353,0
0.451635286,-0.433669037,0.026033952,0.220182271,0.047697557,-0.029544167,0.218526547,0.15699733,-0.026390483,-0.02901179,0
0.339044057,-0.368363892,-0.052764839,0.218003543,-0.03018313,-0.136507408,0.188804073,0.174761965,0.026124208,-0.03961768,0
0.421679465,-0.458530951,-0.032286589,0.171003844,-0.048363252,-0.125796604,0.133822614,0.032401988,0.066274453,-0.036899457,0
0.472217415,-0.443839148,-0.01318994,0.177740519,-0.078472862,-0.084151571,0.068636955,-0.000797222,0.070391622,-0.049016836,0
0.462083424,-0.347641779,-0.100420233,0.143283884,-0.064570521,-0.14842061,0.041529999,0.020398801,0.08034235,-0.034754188,0
0.414631908,-0.246322478,-0.1345394,0.097036369,-0.03685283,-0.153763387,-0.00234335,0.035725164,0.057921505,-0.005710296,0
0.41871063,-0.235017848,-0.134729997,0.063139027,-0.084153666,-0.099108684,-0.083471025,-0.01699848,0.020873757,0.044795686,0
0.438038399,-0.186382883,-0.193519596,0.005206998,-0.070738614,-0.068888245,-0.071880455,-0.047330782,-0.005653449,0.070328257,0
0.478949934,-0.117839158,-0.21455544,-0.005351277,-0.027900258,-0.036499957,-0.03650562,-0.086788428,-0.023802266,0.083345817,0
0.424390387,-0.020373834,-0.188821149,0.036575422,-0.067683487,-0.073161231,-0.0748272,-0.086298601,-0.033180534,0.088859418,0
0.491460822,0.05764362,-0.146750646,-0.013046508,0.029775052,0.002290598,-0.02102939,-0.070254265,-0.021236509,0.094203135,0
0.465288543,0.214364203,-0.092468685,0.021679433,-0.013624608,-0.031840103,0.034868316,0.007078306,-0.004189645,0.049512551,0
0.55087434,0.176142386,0.108341029,0.0744772,0.008932357,0.027874128,0.03056354,-0.042232767,-0.016658889,0.025963782,0
0.574363778,0.21155678,0.256111473,0.079029365,0.053891004,0.026727345,0.051349718,-0.033718642,-0.015692416,0.006121437,0
0.592887984,0.263180249,0.377468339,0.060075772,0.10398003,0.013642083,0.070728233,-0.012165522,0.013239005,-0.003888777,0
